Codigo_Produto;Receita_Total;Ticket_Medio;Num_Transacoes;Volume_Vendido;Primeira_Venda;Ultima_Venda;Descricao_Produto;Grupo_Produto;Custo_Medio;Days_Since_Last_Sale;Lifecycle_Days;Giro_Anual_Estimado;Classificacao_ABC;Classificacao_BCG;Status_Lifecycle;Revenue_Score;Frequency_Score;Recency_Score;Score_Geral;Slow_Mover_Flag;Dead_Stock_Flag;High_Value_Flag;Low_Turnover_Flag;Action_Required_Flag
2318;164933.73;804.5547804878049;205;2528;2025-04-28;2025-05-26;MEIA ALIANCA DE PRATA CRAVEJADA C/ PEDRA;BRUTA 2;157.9840975609756;0;29;2580.17;N/A;N/A;High_Velocity;100.0;33.72;100.0;80.12;0;0;0;0;0
FRETE;31514.129999999997;51.83245065789473;608;609;2025-04-28;2025-05-26;FRETE;FINANCEIRO;0.0;0;29;7652.41;N/A;N/A;High_Velocity;19.11;100.0;100.0;67.64;0;0;0;0;0
2615;86653.38;973.6334831460674;89;2883;2025-04-28;2025-05-26;LINHA LEVE ALIANCA DE PRATA C/ 3 CANTOS;ALIANCA PRATA;370.3044943820225;0;29;1120.17;N/A;N/A;High_Velocity;52.54;14.64;100.0;55.41;0;0;0;0;0
R3;68108.55;582.124358974359;117;1880;2025-04-28;2025-05-26;ALIANCA DE PRATA ANATOMICA RETA LISA 3MM;ALIANCA PRATA;225.3217094017094;0;29;1472.59;N/A;N/A;High_Velocity;41.29;19.24;100.0;52.29;0;0;0;0;0
R2;57504.39;402.1286013986014;143;2158;2025-04-28;2025-05-26;ALIANCA DE PRATA ANATOMICA RETA LISA 2MM;ALIANCA PRATA;169.56125874125877;0;29;1799.83;N/A;N/A;High_Velocity;34.87;23.52;100.0;51.0;0;0;0;0;0
2616;51859.95;503.49466019417474;103;1746;2025-04-28;2025-05-26;LINHA LEVE ALIANCA DE PRATA ANATOMICA QU;ALIANCA PRATA;204.7242718446602;0;29;1296.38;N/A;N/A;High_Velocity;31.44;16.94;100.0;47.66;0;0;0;0;0
2601;52752.0;613.3953488372093;86;3345;2025-04-28;2025-05-26;LINHA LEVE ALIANCA DE PRATA ABAULADA 2.8;ALIANCA PRATA;255.1810465116279;0;29;1082.41;N/A;N/A;High_Velocity;31.98;14.14;100.0;47.03;0;0;0;0;0
2257;49407.36;548.9706666666667;90;1453;2025-04-28;2025-05-26;ALIANCA DE PRATA RETA METADE LISA E FOSC;ALIANCA PRATA;224.74644444444445;0;29;1132.76;N/A;N/A;High_Velocity;29.96;14.8;100.0;46.42;0;0;0;0;0
2339;41436.36;476.28000000000003;87;1127;2025-04-28;2025-05-26;ALIANCA DE PRATA RETA METADE LISA E FOSC;ALIANCA PRATA;181.87195402298852;0;29;1095.0;N/A;N/A;High_Velocity;25.12;14.31;100.0;44.34;0;0;0;0;0
2901;31292.5;355.59659090909093;88;1276;2025-04-28;2025-05-26;ANEL SOLITARIO DE PRATA 4 GARRAS C/ ZIRC;ANEL PRATA;0.0;0;29;1107.59;N/A;N/A;High_Velocity;18.97;14.47;100.0;41.93;0;0;0;0;0
