Codigo_Cliente;Segmento_RFM;CLV_Estimado;CLV_Categoria;Score_Saude_Cliente;Prioridade_Acao;Estrategia_Recomendada;Receita_Total;Ticket_Medio;Num_Transacoes;Days_Since_Last_Purchase;Risco_Churn_Flag;R_Score;F_Score;M_Score;RFM_Score;Estado_Estimado;Faixa_Etaria_Estimada;Genero_Estimado;Categoria_Preferida;Canal_Preferencial;Padrao_Sazonal;Primeira_Compra;Ultima_Compra;Quantidade_sum;Produtos_Unicos;Grupo_Produto_<lambda>;Total_Itens;Customer_Lifecycle_Days;Avg_Days_Between_Purchases;Recency_Days;Frequency_Count;Monetary_Value;Purchase_Frequency_Annual;Estimated_Margin_Per_Purchase;Estimated_Lifetime_Years;CLV_Projetado_24M;Estado_Civil_Estimado;Mes_Pico_Compras;Proxima_Compra_Prevista_Dias;Investimento_Sugerido;ROI_Esperado_Estrategia;Score_Atividade;Score_Fidelidade;Score_Valor;Score_Potencial;Score_Urgencia
C000008833;Em_Risco;952731.57;Premium;36.4;1;Reativacao_Urgente;45368.17;5671.02125;8;14;0;2;4;5;245;SP;36-50;Feminino;Relógios;E-commerce;Datas_Comemorativas;2025-05-12;2025-05-12;901;8;ALIANCA PRATA;8;1;0.1;14;8;45368.17;80.0;3402.61275;3.5;1905463.14;Casado;5;0.0;500.0;2.0;50.0;5.0;49.6;49.6;50
CM0046500;Em_Risco;876971.55;Premium;28.4;1;Reativacao_Urgente;41760.55;4176.055;10;19;0;2;4;5;245;RJ;36-50;Feminino;Relógios;Telefone;Datas_Comemorativas;2025-05-07;2025-05-07;1015;10;ALIANCA PRATA;10;1;0.1;19;10;41760.55;100.0;2505.6330000000003;3.5;1753943.1;Casado;5;0.0;500.0;2.0;32.1;6.2;45.7;45.7;50
CM0049160;Em_Risco;316481.34;Premium;24.0;1;Reativacao_Urgente;15070.54;837.2522222222223;18;17;0;2;5;5;255;MG;18-25;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;380;18;ALIANCA PRATA;18;1;0.1;17;18;15070.54;180.0;502.35133333333334;3.5;632962.68;Solteiro;5;0.0;500.0;2.0;39.3;11.2;16.5;16.5;50
CM0059097;Em_Risco;33757.71;Premium;22.8;1;Reativacao_Urgente;1607.51;133.95916666666668;12;14;0;2;5;3;253;MG;26-35;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-12;47;12;ALIANCA PRATA;12;4;0.3;14;12;1607.51;120.0;80.3755;3.5;67515.42;Casado;5;0.0;500.0;2.0;50.0;7.5;1.8;1.8;50
CM0059973;Em_Risco;81152.19;Premium;22.6;1;Reativacao_Urgente;3864.39;552.0557142857143;7;14;0;2;4;4;244;RS;26-35;Masculino;Brincos;Telefone;Datas_Comemorativas;2025-05-02;2025-05-12;170;7;ALIANCA LATAO FOLHEA;7;11;1.6;14;7;3864.39;70.0;331.2334285714286;3.5;162304.38;Casado;5;0.0;500.0;2.0;50.0;4.3;4.2;4.2;50
CM0005399;Em_Risco;184015.65;Premium;22.0;1;Reativacao_Urgente;8762.65;337.025;26;18;0;2;5;5;255;SP;18-25;Feminino;Pulseiras;E-commerce;Outono;2025-04-29;2025-05-08;152;25;ALIANCA PRATA;26;10;0.4;18;26;8762.65;260.0;202.21499999999997;3.5;368031.3;Solteiro;4;0.0;500.0;2.0;35.7;16.1;9.6;9.6;50
CM0051931;Em_Risco;28119.42;Alto;21.6;1;Reativacao_Urgente;1339.02;223.17;6;14;0;2;3;3;233;SP;26-35;Feminino;Brincos;Telefone;Datas_Comemorativas;2025-05-12;2025-05-12;34;6;ALIANCA PRATA;6;1;0.2;14;6;1339.02;60.0;133.902;3.5;56238.84;Casado;5;0.0;500.0;2.0;50.0;3.7;1.5;1.5;30
CM0034476;Em_Risco;253792.35;Premium;21.2;1;Reativacao_Urgente;12085.35;755.334375;16;18;0;2;5;5;255;RJ;18-25;Masculino;Brincos;E-commerce;Datas_Comemorativas;2025-05-06;2025-05-08;107;15;BRUTA 2;16;3;0.2;18;16;12085.35;160.0;453.200625;3.5;507584.7;Casado;5;0.0;500.0;2.0;35.7;9.9;13.2;13.2;50
C000008450;Em_Risco;127516.62;Premium;20.7;1;Reativacao_Urgente;6072.219999999999;379.51374999999996;16;17;0;2;5;5;255;SP;18-25;Masculino;Pulseiras;E-commerce;Datas_Comemorativas;2025-05-09;2025-05-09;138;16;ALIANCA PRATA;16;1;0.1;17;16;6072.219999999999;160.0;227.70824999999996;3.5;255033.24;Casado;5;0.0;500.0;2.0;39.3;9.9;6.6;6.6;50
C000008804;Em_Risco;289513.14;Premium;19.9;1;Reativacao_Urgente;13786.34;2297.7233333333334;6;18;0;2;3;5;235;RJ;26-35;Masculino;Colares;Telefone;Datas_Comemorativas;2025-05-08;2025-05-08;21;6;ALIANCA UNITY;6;1;0.2;18;6;13786.34;60.0;1378.634;3.5;579026.28;Casado;5;0.0;500.0;2.0;35.7;3.7;15.1;15.1;50
C000008805;Em_Risco;289513.14;Premium;19.9;1;Reativacao_Urgente;13786.34;2297.7233333333334;6;18;0;2;3;5;235;MG;36-50;Masculino;Colares;E-commerce;Datas_Comemorativas;2025-05-08;2025-05-08;21;6;ALIANCA UNITY;6;1;0.2;18;6;13786.34;60.0;1378.634;3.5;579026.28;Solteiro;5;0.0;500.0;2.0;35.7;3.7;15.1;15.1;50
