Periodo;Receita_Total;Receita_Variacao_Pct;YoY_Receita_Growth_Pct;Ticket_Medio;Num_Transacoes;Score_Saude_Financeira;Recomendacao_Estrategica;Margem_Liquida_Pct;Receita_Periodo_Atual;Receita_Periodo_Anterior;Projecao_Anual;Confiabilidade_Comparacao;Tendencia_Crescimento;Classificacao_Tendencia;Indice_Sazonal;Data_Inicio_Periodo;Data_Fim_Periodo;Quantidade_sum;Produtos_Vendidos;Clientes_Ativos;Grupo_Produto_<lambda>;Receita_Media_Diaria;Receita_Por_Cliente;Transacoes_Por_Cliente;Transacoes_Variacao_Pct;Ticket_Variacao_Pct;YoY_Transacoes_Growth_Pct;YoY_Ticket_Growth_Pct;Periodo_Analisado;Dias_No_Periodo;Margem_Bruta_Estimada;Margem_Bruta_Pct;Margem_Real_Pct;Impacto_Desconto_Pct;Margem_Liquida_Final_Pct;Margem_Liquida_Final;Custo_Operacional_Estimado;ROI_Periodo_Pct;Classificacao_Sazonal;Correlacao_Preco_Volume;Projecao_30d_Conservador;Projecao_60d_Conservador;Projecao_90d_Conservador;Projecao_30d_Realista;Projecao_60d_Realista;Projecao_90d_Realista;Projecao_30d_Otimista;Projecao_60d_Otimista;Projecao_90d_Otimista;Confiabilidade_Modelo_Pct;Categoria_Top_Performance;Receita_Top_Categoria;Oportunidade_Margem;Eficiencia_Operacional;ROAS_Estimado;CAC_Estimado;LTV_CAC_Ratio;Performance_Online_Pct;Performance_Presencial_Pct;Prioridade_Acao;Score_Crescimento;Score_Margem;Score_Eficiencia;Score_Estabilidade;Score_Oportunidade;Periodo_Info_type;Periodo_Info_start_date;Periodo_Info_end_date;Periodo_Info_year;Periodo_Info_days_count
2024-01;348003.28;;27.94;177.46215196328404;1961;;Manutencao_Performance;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;0.681;2024-01-03;2024-01-31;6626;371;299;ALIANCA PRATA;11600.109333333334;1163.89;6.56;;;7.07;19.5;Ano 2024;366;217154.05;62.4;62.4;22.0;18.7;65076.61;282926.67;23.0;Vale_Alto;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;177.46;4.8;320;77.65625;61;39;4;;100.0;36.4;;100.0;year;2024-01-01;2024-12-31;2024;366
2024-02;1216279.52;249.5;27.94;287.26488427019365;4234;71.8;Expansao_Agressiva;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;0.977;2024-02-01;2024-02-29;26557;514;472;ALIANCA PRATA;40542.65066666667;2576.86;8.97;115.91;61.87;7.07;19.5;Ano 2024;366;758958.42;62.4;62.4;22.0;18.7;227444.27;988835.25;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;287.26;4.8;320;77.65625;61;39;4;100.0;100.0;58.9;0.0;100.0;year;2024-01-01;2024-12-31;2024;366
2024-03;1419501.48;16.71;27.94;317.98868279569894;4464;64.8;Expansao_Agressiva;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;1.131;2024-03-01;2024-03-30;24735;564;488;ALIANCA PRATA;47316.716;2908.81;9.15;5.43;10.7;7.07;19.5;Ano 2024;366;885768.92;62.4;62.4;22.0;18.7;265446.78;1154054.7;23.0;Pico_Moderado;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;317.99;4.8;320;77.65625;61;39;4;16.9;100.0;65.3;83.3;100.0;year;2024-01-01;2024-12-31;2024;366
2024-04;1459416.84;2.81;27.94;317.33351598173516;4599;66.1;Manutencao_Performance;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;1.067;2024-04-01;2024-04-30;31861;563;530;ALIANCA PRATA;48647.228;2753.62;8.68;3.02;-0.21;7.07;19.5;Ano 2024;366;910676.11;62.4;62.4;22.0;18.7;272910.95;1186505.89;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;317.33;4.8;320;77.65625;61;39;3;12.0;100.0;65.1;97.2;100.0;year;2024-01-01;2024-12-31;2024;366
2024-05;2091632.54;43.32;27.94;374.17397853309484;5590;64.6;Expansao_Agressiva;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;1.123;2024-05-02;2024-05-31;51520;545;592;ALIANCA PRATA;69721.08466666666;3533.16;9.44;21.55;17.91;7.07;19.5;Ano 2024;366;1305178.7;62.4;62.4;22.0;18.7;391135.28;1700497.26;23.0;Pico_Moderado;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;374.17;4.8;320;77.65625;61;39;4;26.4;100.0;76.8;56.7;100.0;year;2024-01-01;2024-12-31;2024;366
2024-06;1844195.65;-11.83;27.94;329.6149508489723;5595;63.2;Otimizacao_Urgente;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;0.891;2024-06-01;2024-06-28;38251;560;625;ALIANCA PRATA;61473.18833333333;2950.71;8.95;0.09;-11.91;7.07;19.5;Ano 2024;366;1150778.09;62.4;62.4;22.0;18.7;344864.59;1499331.06;23.0;Vale_Moderado;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;329.61;4.8;320;77.65625;61;39;1;6.8;100.0;67.6;88.2;100.0;year;2024-01-01;2024-12-31;2024;366
2024-07;1276987.32;-30.76;27.94;318.8482696629214;4005;56.9;Otimizacao_Urgente;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;0.819;2024-07-02;2024-07-31;21290;498;474;ALIANCA PRATA;42566.244;2694.07;8.45;-28.42;-3.27;7.07;19.5;Ano 2024;366;796840.09;62.4;62.4;22.0;18.7;238796.63;1038190.69;23.0;Vale_Moderado;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;318.85;4.8;320;77.65625;61;39;1;0.0;100.0;65.4;69.2;100.0;year;2024-01-01;2024-12-31;2024;366
2024-08;2001695.96;56.75;27.94;448.609583146571;4462;66.4;Expansao_Agressiva;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;0.986;2024-08-01;2024-08-30;25517;590;478;ALIANCA PRATA;66723.19866666666;4187.65;9.33;11.41;40.7;7.07;19.5;Ano 2024;366;1249058.28;62.4;62.4;22.0;18.7;374317.14;1627378.82;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;448.61;4.8;320;77.65625;61;39;4;31.2;100.0;92.1;43.2;100.0;year;2024-01-01;2024-12-31;2024;366
2024-09;1965868.39;-1.79;27.94;487.3248363906792;4034;72.7;Manutencao_Performance;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;1.036;2024-09-02;2024-09-30;25580;566;448;ALIANCA PRATA;65528.94633333333;4388.1;9.0;-9.59;8.63;7.07;19.5;Ano 2024;366;1226701.88;62.4;62.4;22.0;18.7;367617.39;1598251.0;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;487.32;4.8;320;77.65625;61;39;2;10.3;100.0;100.0;98.2;100.0;year;2024-01-01;2024-12-31;2024;366
2024-10;2035006.33;3.52;27.94;385.8563386423967;5274;68.8;Manutencao_Performance;40.4;20051183.72;15672024.44;19996399.07;Alta;120190.25776223777;Crescimento_Forte;0.97;2024-10-01;2024-10-31;41029;564;545;ALIANCA PRATA;67833.54433333334;3733.96;9.68;30.74;-20.82;7.07;19.5;Ano 2024;366;1269843.95;62.4;62.4;22.0;18.7;380546.18;1654460.15;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;6605837.29;1002559.19;385.86;4.8;320;77.65625;61;39;3;12.2;100.0;79.2;96.5;100.0;year;2024-01-01;2024-12-31;2024;366
